Company,Model,Lens,NA,Zoom_x,Core_Technology,Configuration,type_of_interaction,Acquisition_mode,STR_nm,Accuracy_microns,Accuracy_percentage,Vertical_Resolution_nm,Sq_repeatability_nm,Repeatability _nm,Ra_repeatability_nm,Rz_repeatability_nm,Angular_Coverage_Perfectdiffuser_deg,Angular_Coverage_MirrorLike_deg,LATA_microns,Optical_Resolution_microns,Spatial_Sampling_microns,img_width,img_height,area_mm2,Line_Lenght_mm,XYspeed_mm/sec,Working_disitance_mm,Z_Speed_Sca_micron/sec,Z_stage,Z_working_range_mm,XY_Stage,Weight_Kg,Max_sample_weight_Kg,Frequency_KHz,Max_number_of_points_per_scan_,Sample_reflectivity_percentage,Measurement_time_s,COST,High_res_color_texture,Max. sample stage positioning range ,Intorduction date,Reference document
zygo,ZeGage Plus,SLWD 1x,0.03,,CSI,Benchtop,white light,Array,0.15,0.3,3,,0.01,,,,,1.34,,9.5,4.1,,,4.2,,,40,,Automated,20,Manual or atuomated,54,,,,0.05-100,,,,,,
zygo,ZeGage Plus,SLWD 5x,0.12,,CSI,Benchtop,white light,Array,0.15,0.3,3,,0.01,,,,,5.81,,2.38,3.28,,,3.36,,,40,,Automated,20,Manual or atuomated,54,,,,0.05-100,,,,,,
zygo,ZeGage Plus,SLWD 5x,0.12,,CSI,Benchtop,white light,Array,0.15,0.3,3,,0.01,,,,,5.81,,2.38,1.63,,,1.67,,,40,,Automated,20,Manual or atuomated,54,,,,0.05-100,,,,,,
zygo,ZeGage Plus,SLWD 5x,0.12,,CSI,Benchtop,white light,Array,0.15,0.3,3,,0.01,,,,,5.81,,2.38,0.82,,,0.84,,,40,,Automated,20,Manual or atuomated,54,,,,0.05-100,,,,,,
zygo,ZeGage Plus,GC 2x,0.055,,CSI,Benchtop,white light,Array,0.15,0.3,3,,0.01,,,,,2.66,,5.18,8.21,,,8.41,,,18.5,,Automated,20,Manual or atuomated,54,,,,0.05-100,,,,,,
zygo,ZeGage Plus,GC 2x,0.055,,CSI,Benchtop,white light,Array,0.15,0.3,3,,0.01,,,,,2.66,,5.18,4.07,,,4.17,,,18.5,,Automated,20,Manual or atuomated,54,,,,0.05-100,,,,,,
zygo,ZeGage Plus,GC 2x,0.055,,CSI,Benchtop,white light,Array,0.15,0.3,3,,0.01,,,,,2.66,,5.18,2.05,,,2.1,,,18.5,,Automated,20,Manual or atuomated,54,,,,0.05-100,,,,,,
zygo,ZeGage Plus,GC 5x,0.14,,CSI,Benchtop,white light,Array,0.15,0.3,3,,0.01,,,,,6.3,,2.04,3.28,,,3.36,,,19,,Automated,20,Manual or atuomated,54,,,,0.05-100,,,,,,
zygo,ZeGage Plus,GC 5x,0.14,,CSI,Benchtop,white light,Array,0.15,0.3,3,,0.01,,,,,6.3,,2.04,1.63,,,1.67,,,19,,Automated,20,Manual or atuomated,54,,,,0.05-100,,,,,,
zygo,ZeGage Plus,GC 5x,0.14,,CSI,Benchtop,white light,Array,0.15,0.3,3,,0.01,,,,,6.3,,2.04,0.82,,,0.84,,,19,,Automated,20,Manual or atuomated,54,,,,0.05-100,,,,,,
